,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_1.0,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_15722.0,League_17642.0,League_19694.0,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3138041733547351,0.2768860353130016,0.40930979133226325,0.3078247766655903,0.27941018189645894,0.4127650414379507,2.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3271786022433132,0.28628127696289907,0.3865401207937877,0.2904929577464789,0.3001760563380282,0.409330985915493,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6728971962616822,0.20934579439252335,0.11775700934579439,0.6722689075630252,0.226890756302521,0.10084033613445377,2.0
3,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.2074074074074074,0.2592592592592593,0.5333333333333333,0.19271727928546892,0.2744761250429406,0.5328065956715906,2.0
4,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5352112676056339,0.26760563380281693,0.1971830985915493,0.5657593688362919,0.25499013806706117,0.17925049309664695,1.0
5,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5538013116346855,0.25382560116589753,0.19237308719941704,0.5632691700852004,0.26506784474597667,0.17166298516882295,2.0
6,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,0.2777777777777778,0.3055555555555556,0.4112271540469974,0.28720626631853785,0.30156657963446476,2.0
7,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5521375611295157,0.263448493453226,0.18441394541725822,0.5437462517491838,0.26707536482974614,0.18917838342107016,2.0
8,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.29352734570998495,0.28901154039136984,0.41746111389864526,0.29277566539923955,0.2750316856780735,0.43219264892268694,2.0
10,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.28624535315985133,0.2775712515489468,0.43618339529120204,0.315220985341122,0.27642455637606084,0.40835445828281713,0.0
11,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.1658110129961569,0.2533223809663508,0.5808666060374923,0.16337648823187342,0.264285495669207,0.5723380160989195,1.0
12,3.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6687079676631565,0.21003298753392446,0.12125904480291906,0.6935630099728015,0.20036264732547598,0.10607434270172258,2.0
13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5808666060374923,0.2533223809663508,0.1658110129961569,0.598705501618123,0.2394822006472492,0.16181229773462785,2.0
14,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6500776404176282,0.2161921021250311,0.13373025745734066,0.6197403614064846,0.2364798747472112,0.14377976384630442,2.0
15,2.0,-1.0,2.0,2.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.8250825082508252,0.1254125412541254,0.0495049504950495,0.7903266926466839,0.14531813380922895,0.06435517354408711,2.0
16,-4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3579175704989154,0.28416485900216926,0.3579175704989154,0.37572254335260113,0.27745664739884396,0.34682080924855485,2.0
17,-1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.11475409836065573,0.22950819672131145,0.6557377049180327,0.13987138263665594,0.23311897106109325,0.6270096463022508,0.0
18,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.2113142708725288,0.2407870507573815,0.5478986783700897,0.1991450842343475,0.2516972592406337,0.5491576565250189,0.0
19,-3.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.31718569780853517,0.2768166089965398,0.405997693194925,0.32727272727272727,0.2727272727272727,0.39999999999999997,0.0
20,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.40070832279281565,0.27928155831014423,0.32001011889704023,0.43829605051910525,0.27646366263512795,0.28524028684576685,1.0
21,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.15975352958634237,0.2551618875337413,0.5850845828799163,0.16340361445783133,0.2567771084337349,0.5798192771084337,0.0
22,6.0,15.0,5.0,9.0,0.0,1.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.3661971830985915,0.28169014084507044,0.35211267605633795,0.37005430566330483,0.28782001551590375,0.3421256788207913,2.0
23,-1.0,-8.0,4.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.4917509313464608,0.2846194784459819,0.22362959020755718,0.47817557626287394,0.27954879843060326,0.2422756253065228,2.0
24,0.0,-7.0,3.0,1.0,0.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5433938829374321,0.2685918335662164,0.18801428349635152,0.5189873417721519,0.25949367088607594,0.22151898734177217,2.0
25,8.0,12.0,6.0,7.0,0.0,0.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.538243626062323,0.2691218130311615,0.19263456090651557,0.51438349828878,0.2687077976135418,0.2169087040976783,2.0
26,-3.0,1.0,1.0,5.0,0.0,1.0,4.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.4942894589028271,0.27710166635461525,0.2286088747425576,0.4600811907983762,0.27604871447902574,0.2638700947225981,0.0
27,-8.0,2.0,1.0,4.0,0.0,0.0,5.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.48044136239990803,0.27807363702540133,0.2414850005746906,0.4652686762778506,0.2791612057667104,0.25557011795543905,2.0
28,-10.0,-7.0,0.0,2.0,0.0,0.0,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.4361833952912019,0.2862453531598513,0.27757125154894674,0.4228187919463088,0.28859060402684567,0.28859060402684567,1.0
29,-9.0,10.0,1.0,5.0,0.0,0.0,1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.16641901931649333,0.26151560178306094,0.5720653789004458,0.16340361445783133,0.2567771084337349,0.5798192771084337,2.0
30,8.0,-4.0,5.0,2.0,0.0,0.0,4.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0.6292134831460674,0.23595505617977527,0.1348314606741573,0.6217616580310881,0.22694300518134716,0.15129533678756477,1.0
31,-7.0,-2.0,2.0,2.0,0.0,0.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.5143906919779547,0.2614819350887937,0.2241273729332517,0.477029702970297,0.2746534653465347,0.2483168316831683,1.0
32,2.0,13.0,6.0,9.0,1.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.27631578947368424,0.27631578947368424,0.4473684210526316,0.2750975159104907,0.27099158283719976,0.4539109012523096,0.0
33,15.0,-10.0,10.0,0.0,0.0,0.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.7271285034373347,0.18759915388683238,0.0852723426758329,0.7424200470718537,0.16468226498684754,0.09289768794129862,2.0
34,11.0,-2.0,7.0,4.0,0.0,0.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.5518087063151441,0.26057633353770693,0.187614960147149,0.5177664974619288,0.266497461928934,0.21573604060913704,0.0
35,-2.0,0.0,2.0,6.0,0.0,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3756449948400413,0.28895768833849333,0.33539731682146545,0.3708987161198288,0.2796005706134094,0.34950071326676174,2.0
36,8.0,9.0,5.0,7.0,1.0,0.0,5.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.42669584245076586,0.2844638949671772,0.2888402625820569,0.4324324324324324,0.28378378378378377,0.28378378378378377,2.0
37,-7.0,-7.0,2.0,2.0,1.0,0.0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.4473684210526316,0.27631578947368424,0.27631578947368424,0.44217687074829937,0.27891156462585037,0.27891156462585037,2.0
38,-12.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.45379876796714574,0.2792607802874743,0.2669404517453799,1.0
39,17.0,-7.0,11.0,2.0,1.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.8031206975676917,0.13423588802202846,0.06264341441027994,0.788069835111542,0.1394277400581959,0.07250242483026187,2.0
40,-4.0,-2.0,2.0,6.0,0.0,0.0,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5220012055455093,0.26100060277275466,0.21699819168173598,0.5183052981919583,0.2707564990555006,0.21093820275254116,2.0
41,10.0,10.0,7.0,6.0,0.0,1.0,2.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0.3239263803680982,0.2846625766871166,0.3914110429447853,0.3029259896729776,0.28399311531841653,0.41308089500860584,2.0
42,19.0,0.0,12.0,3.0,1.0,0.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.7512991833704529,0.1633259094283593,0.08537490720118782,0.7250193648334624,0.17428350116188998,0.10069713400464755,2.0
43,11.0,-6.0,8.0,3.0,2.0,0.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.577454180266131,0.259854381119759,0.16269143861410998,0.5663620876568066,0.26266067833359147,0.17097723400960202,2.0
44,-1.0,-9.0,5.0,2.0,0.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.6866642573183954,0.19660281893747744,0.11673292374412723,0.6728538283062645,0.20185614849187936,0.12529002320185617,2.0
45,9.0,2.0,6.0,6.0,0.0,0.0,5.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.4811372334609076,0.2843083652268999,0.23455440131219243,0.49077702379814586,0.27936538277740613,0.22985759342444806,1.0
46,-8.0,20.0,3.0,13.0,0.0,1.0,4.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.17850621297822117,0.26032156059323924,0.5611722264285397,0.18866517524235646,0.26249067859806113,0.5488441461595824,0.0
47,-12.0,7.0,0.0,7.0,0.0,1.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.19742911033269403,0.26049674280008245,0.5420741468672235,0.18866517524235646,0.26249067859806113,0.5488441461595824,0.0
48,-1.0,-10.0,3.0,3.0,0.0,0.0,6.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.5420741468672235,0.26049674280008245,0.19742911033269403,0.5488387415582276,0.26634821281502224,0.1848130456267501,2.0
49,31.0,10.0,16.0,10.0,1.0,1.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.5420741468672235,0.26049674280008245,0.19742911033269403,0.5190839694656488,0.26717557251908397,0.21374045801526714,2.0
50,-13.0,13.0,0.0,9.0,0.0,1.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.2611940298507463,0.26865671641791045,0.4701492537313433,0.23541887592788968,0.27465535524920465,0.4899257688229055,0.0
51,-1.0,-8.0,3.0,2.0,0.0,0.0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.45556119857795835,0.28034535297105134,0.26409344845099036,1.0
52,-5.0,-11.0,6.0,6.0,1.0,0.0,1.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.3897043622079801,0.28778168286127764,0.3225139549307422,0.38679969301611666,0.28856485034535684,0.3246354566385265,2.0
53,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.6131386861313869,0.25547445255474455,0.13138686131386862,0.6056782334384858,0.2523659305993691,0.14195583596214512,2.0
54,8.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.7194244604316546,0.18705035971223022,0.09352517985611511,0.7272727272727273,0.18181818181818182,0.09090909090909091,2.0
55,-3.0,-3.0,0.0,1.0,0.0,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.42669584245076586,0.2844638949671772,0.2888402625820569,0.40371456500488756,0.2883675464320626,0.30791788856304986,1.0
56,5.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6345177664974619,0.2436548223350254,0.1218274111675127,0.6204483607619542,0.23675003239600884,0.14280160684203708,2.0
57,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5352112676056339,0.26760563380281693,0.1971830985915493,0.5183052981919583,0.2707564990555006,0.21093820275254116,1.0
58,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.2570093457943925,0.2803738317757009,0.4626168224299065,0.2422756253065228,0.27954879843060326,0.47817557626287394,1.0
59,8.0,-11.0,8.0,3.0,2.0,0.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.6515264333581534,0.22338049143708116,0.12509307520476545,0.6250382989153748,0.24168147558061157,0.13328022550401375,2.0
60,9.0,-14.0,6.0,0.0,1.0,0.0,6.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.6254295532646048,0.2405498281786942,0.13402061855670103,0.6469807564698076,0.23224950232249503,0.1207697412076974,2.0
61,14.0,22.0,10.0,14.0,0.0,0.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.30420841683366734,0.28577154308617236,0.41002004008016035,0.3181076672104404,0.27895595432300163,0.4029363784665579,1.0
62,22.0,0.0,14.0,4.0,2.0,0.0,3.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0.6728971962616822,0.20934579439252335,0.11775700934579439,0.6719766093663356,0.21096940061501235,0.11705399001865201,2.0
63,-12.0,11.0,3.0,7.0,0.0,0.0,4.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0.26829268292682923,0.2845528455284553,0.4471544715447154,0.2629416598192276,0.2834839769926048,0.45357436318816763,2.0
64,-16.0,2.0,0.0,6.0,0.0,1.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.3225139549307422,0.28778168286127764,0.3897043622079801,0.31807704972011847,0.2877839973658215,0.3941389529140599,2.0
65,-1.0,9.0,3.0,9.0,0.0,0.0,5.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.2513863216266174,0.27726432532347506,0.47134935304990755,0.27099158283719976,0.2750975159104907,0.4539109012523096,0.0
66,9.0,23.0,7.0,15.0,0.0,0.0,6.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.3141116751269035,0.2899492385786802,0.39593908629441626,0.32971415909594504,0.2924883669399512,0.3777974739641037,0.0
67,0.0,-10.0,6.0,4.0,1.0,0.0,3.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.5518087063151441,0.26057633353770693,0.187614960147149,0.5488387415582276,0.26634821281502224,0.1848130456267501,0.0
68,-4.0,12.0,1.0,10.0,0.0,0.0,4.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.32001011889704023,0.27928155831014423,0.40070832279281565,0.274649361523969,0.2832321540715931,0.442118484404438,2.0
69,-1.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5318883948831162,0.2556019230966086,0.21250968202027506,0.4899257688229055,0.27465535524920465,0.23541887592788968,2.0
70,-14.0,-12.0,1.0,2.0,0.0,0.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.6013229104028863,0.2453397474443776,0.15333734215273598,0.5667506297229219,0.2518891687657431,0.181360201511335,0.0
71,-4.0,-3.0,3.0,6.0,0.0,1.0,5.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.35211267605633795,0.28169014084507044,0.3661971830985915,0.37005430566330483,0.28782001551590375,0.3421256788207913,2.0
72,-5.0,5.0,6.0,7.0,0.0,1.0,0.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0.3055555555555556,0.2777777777777778,0.4166666666666667,0.29277566539923955,0.2750316856780735,0.43219264892268694,1.0
73,5.0,-1.0,7.0,4.0,1.0,0.0,7.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0.5611722264285397,0.26032156059323924,0.17850621297822117,0.5663620876568066,0.26266067833359147,0.17097723400960202,2.0
74,-2.0,-8.0,0.0,2.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.4248366013071895,0.2875816993464052,0.2875816993464052,0.4323725055432372,0.2793791574279379,0.2882483370288248,0.0
75,14.0,1.0,10.0,5.0,1.0,0.0,3.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0.562008242787561,0.2502810041213938,0.18771075309104535,0.5333970294449751,0.2628333188569443,0.2037696516980804,0.0
76,-6.0,25.0,6.0,15.0,0.0,1.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.208955223880597,0.26865671641791045,0.5223880597014926,0.20196280991735532,0.2634297520661157,0.5346074380165289,0.0
77,31.0,-3.0,16.0,0.0,0.0,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.765685019206146,0.16245838668373877,0.07185659411011523,0.7556427870461238,0.16192345436702651,0.08243375858684987,0.0
78,-2.0,7.0,2.0,8.0,0.0,0.0,4.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0.39016393442622954,0.2754098360655738,0.3344262295081967,0.3567160876300067,0.2934277495021022,0.34985616286789106,2.0
79,3.0,9.0,6.0,10.0,0.0,1.0,6.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.3344262295081967,0.2754098360655738,0.39016393442622954,0.32337434094903333,0.2829525483304042,0.3936731107205623,1.0
80,-7.0,-9.0,5.0,3.0,0.0,0.0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5700325732899023,0.250814332247557,0.17915309446254069,0.5327571305099396,0.2703543647363872,0.1968885047536733,2.0
81,-17.0,-4.0,1.0,7.0,0.0,1.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.41929720071471116,0.2858844550327576,0.2948183442525313,0.4033905672679852,0.2836339926103021,0.3129754401217127,2.0
82,6.0,-7.0,8.0,3.0,0.0,1.0,7.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.6500776404176282,0.2161921021250311,0.13373025745734066,0.624794994836907,0.2448520925712203,0.13035291259187268,2.0
83,-2.0,-18.0,7.0,2.0,0.0,0.0,4.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.4473684210526316,0.27631578947368424,0.27631578947368424,0.4440534106200187,0.27585136114273884,0.28009522823724253,2.0
84,12.0,9.0,10.0,10.0,0.0,1.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.39593908629441626,0.2899492385786802,0.3141116751269035,0.37005430566330483,0.28782001551590375,0.3421256788207913,1.0
85,-12.0,3.0,6.0,6.0,0.0,1.0,3.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0.3997567403202919,0.2763024528684371,0.323940806811271,0.3947368421052632,0.2751196172248804,0.33014354066985646,1.0
86,9.0,7.0,10.0,9.0,0.0,2.0,4.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.4632617313542916,0.28348852217202913,0.25324974647367937,2.0
87,28.0,-5.0,15.0,7.0,1.0,1.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.7494852436513384,0.17844886753603295,0.0720658888126287,0.7556427870461238,0.16192345436702651,0.08243375858684987,2.0
88,-1.0,-16.0,3.0,2.0,0.0,0.0,4.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.5970774629445346,0.24668726758497875,0.15623526947048655,0.629436819687648,0.24017983909133933,0.13038334122101278,2.0
89,-3.0,-3.0,4.0,6.0,0.0,0.0,5.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.41883568448241604,0.27717067355454006,0.3039936419630439,0.4029363784665579,0.27895595432300163,0.3181076672104404,2.0
90,-2.0,8.0,1.0,10.0,0.0,0.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.2513863216266174,0.27726432532347506,0.47134935304990755,0.255570117955439,0.27916120576671033,0.4652686762778505,1.0
91,-4.0,1.0,6.0,4.0,0.0,1.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.3756449948400413,0.28895768833849333,0.33539731682146545,0.3773087071240106,0.27440633245382584,0.34828496042216356,2.0
92,-7.0,-1.0,7.0,5.0,0.0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0.43785365853658537,0.28526829268292686,0.27687804878048783,0.4225727379302994,0.2795481189385058,0.29787914313119473,1.0
93,28.0,0.0,15.0,4.0,1.0,0.0,3.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.6728971962616822,0.20934579439252335,0.11775700934579439,0.6725771935188016,0.20635891164781411,0.12106389483338428,2.0
94,3.0,4.0,6.0,8.0,0.0,0.0,8.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0.3774574049803408,0.2948885976408912,0.327653997378768,0.3559322033898305,0.28813559322033894,0.3559322033898305,1.0
95,-1.0,-22.0,5.0,2.0,0.0,0.0,6.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.5078597339782346,0.26844014510278114,0.22370012091898428,0.5004277159965783,0.2771599657827203,0.22241231822070145,2.0
96,-8.0,1.0,3.0,7.0,0.0,2.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.3756449948400413,0.28895768833849333,0.33539731682146545,0.41308089500860584,0.28399311531841653,0.3029259896729776,2.0
97,9.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.7333822254816987,0.17201146743116208,0.09460630708713914,0.7364756293519015,0.18117300482056778,0.08235136582753082,2.0
98,-3.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.375767498976668,0.2762996316004912,0.34793286942284074,0.39367311072056244,0.28295254833040423,0.3233743409490334,1.0
99,-6.0,-3.0,1.0,0.0,0.0,0.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.39016393442622954,0.2754098360655738,0.3344262295081967,0.3855871690651434,0.27880918378556524,0.3356036471492915,1.0
100,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3239263803680982,0.2846625766871166,0.3914110429447853,0.3029259896729776,0.28399311531841653,0.41308089500860584,2.0
101,-2.0,1.0,4.0,6.0,0.0,0.0,4.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0.42834645669291344,0.2771653543307087,0.29448818897637796,0.45556119857795835,0.28034535297105134,0.26409344845099036,1.0
102,2.0,-2.0,7.0,1.0,0.0,0.0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.41883568448241604,0.27717067355454006,0.3039936419630439,0.39591925331018024,0.284566963316692,0.31951378337312786,2.0
103,-7.0,5.0,7.0,6.0,0.0,1.0,2.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0.3255813953488372,0.27770177838577287,0.39671682626538984,0.3287520615722925,0.27817482133040133,0.39307311709730625,2.0
104,-12.0,9.0,6.0,10.0,0.0,0.0,4.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0.21723720403338773,0.2687534552755911,0.5140093406910212,0.21093820275254116,0.2707564990555006,0.5183052981919583,0.0
105,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.6886928339935182,0.20354699315808428,0.10776017284839756,0.6507592190889371,0.22776572668112796,0.12147505422993492,1.0
106,-3.0,12.0,0.0,7.0,0.0,1.0,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.24288369363200624,0.280250415729238,0.47686589063875573,0.21914775871610404,0.2755949086884339,0.5052573325954621,0.0
107,6.0,-2.0,5.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.6151930261519302,0.2428393524283935,0.1419676214196762,0.6045081967213114,0.24180327868852458,0.15368852459016394,2.0
108,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.49835104433858557,0.2711615976548187,0.23048735800659584,0.4923780487804878,0.2679115853658537,0.23971036585365857,0.0
109,14.0,3.0,8.0,2.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.43811274509803916,0.28308823529411764,0.27879901960784315,0.4552845528455285,0.28455284552845533,0.2601626016260163,1.0
110,-3.0,-2.0,1.0,0.0,0.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5251667677380231,0.26258338386901153,0.21224984839296543,0.5037509377344336,0.26669167291822954,0.22955738934733677,1.0
111,-6.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.30708661417322836,0.2834645669291339,0.4094488188976378,0.3127962085308057,0.27488151658767773,0.41232227488151657,0.0
112,-2.0,9.0,0.0,6.0,0.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.21888412017167377,0.27038626609442057,0.5107296137339056,0.21093820275254116,0.2707564990555006,0.5183052981919583,2.0
113,-3.0,-5.0,1.0,0.0,0.0,0.0,1.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0.3756449948400413,0.28895768833849333,0.33539731682146545,0.3708987161198288,0.2796005706134094,0.34950071326676174,0.0
114,1.0,-3.0,3.0,1.0,0.0,0.0,1.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.5140093406910212,0.2687534552755911,0.21723720403338773,0.5509099852434826,0.2597147073290703,0.18937530742744715,1.0
115,3.0,3.0,2.0,4.0,0.0,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6914119359534208,0.19796215429403205,0.11062590975254732,0.6980748851995761,0.19516072059342987,0.10676439420699399,2.0
116,-4.0,-1.0,1.0,1.0,0.0,0.0,5.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.562008242787561,0.2502810041213938,0.18771075309104535,0.5509099852434826,0.2597147073290703,0.18937530742744715,0.0
117,8.0,-3.0,6.0,2.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.7336827060505002,0.1802763220581229,0.08604097189137686,0.7272727272727273,0.18181818181818182,0.09090909090909091,2.0
118,-2.0,-5.0,0.0,0.0,0.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5072616073735894,0.2760099922473943,0.21672840037901628,0.4648910411622276,0.2832929782082324,0.25181598062953997,2.0
119,14.0,12.0,8.0,7.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5808666060374923,0.2533223809663508,0.1658110129961569,0.5325443786982248,0.2662721893491124,0.2011834319526627,1.0
120,-7.0,-1.0,1.0,1.0,0.0,0.0,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.405997693194925,0.2768166089965398,0.31718569780853517,0.4222648752399232,0.2751119641714651,0.3026231605886116,0.0
